Name,Simple Rating,Industry,,,,,,,,,,,,,,,,,,,,,
Air Canada,B,Transportation,,,,,,,,,,,,,,,,,,,,,
Bank of America,BBB,Financial,,,,,,,,,,,,,,,,,,,,,
Barclays PLC,BBB,Financial,,,,,,,,,,,,,,,,,,,,,
Carrick North America Finance LLC,BBB,Metals,,,,,,,,,,,,,,,,,,,,,
CBS CORP,BBB,Media,,,,,,,,,,,,,,,,,,,,,
CHN INDUSTRIAL CAPITAL LLC ,BB,Manufacturing,,,,,,,,,,,,,,,,,,,,,
Coca-Cola Enterprises Inc,BBB,Foodstuff,,,,,,,,,,,,,,,,,,,,,
DEUTSCHE BANK AG,BB,Financial,,,,,,,,,,,,,,,,,,,,,
Fedex Corp,BBB,Transportation,,,,,,,,,,,,,,,,,,,,,
Ford Motor,BBB,Auto,,,,,,,,,,,,,,,,,,,,,
GENERAL MOTORS FINANCIAL COMPANY ,BBB,Auto,,,,,,,,,,,,,,,,,,,,,
Jaguar Land Rover Automotive PLC,BB,Auto,,,,,,,,,,,,,,,,,,,,,
MARATHON PETROLEUM CORP,BBB,Energy,,,,,,,,,,,,,,,,,,,,,
Multicanal SA,CCC,Telecommunications,,,,,,,,,,,,,,,,,,,,,
Navient Corp,BB,Financial,,,,,,,,,,,,,,,,,,,,,
NEW YORK TIMES CO,B,Media,,,,,,,,,,,,,,,,,,,,,
Newmont Mining Corp.,BBB,Metals,,,,,,,,,,,,,,,,,,,,,
Petrobras GlobalFinance BV,BB,Energy,,,,,,,,,,,,,,,,,,,,,
ROYAL CARIBBEAN CRUISE LINES,BB,Leisure,,,,,,,,,,,,,,,,,,,,,
SOUTHWEST AIRLINES,BBB,Transportation,,,,,,,,,,,,,,,,,,,,,
THERMO FISHER SCIENTIFIC INC,BBB,Medical,,,,,,,,,,,,,,,,,,,,,
Transocean Inc,B,Energy,,,,,,,,,,,,,,,,,,,,,
Vale Overseas Ltd,BBB,Mining,,,,,,,,,,,,,,,,,,,,,
VIRGIN MEDIA FINANCE PLC,BB,Telecommunications,,,,,,,,,,,,,,,,,,,,,
Yum Brands Inc,BB,Leisure,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
