Issuer name,Instrument type (Bond or CDS),CUSIP,Notional,Maturity Date,Coupon,Coupons per year,Price,Yield,Theoretical Clean Price,Expected Recovery rate,,,,,,,,,
SOUTHWEST AIRLINES,Bond,844741AN8,7,3/1/2027,7.375%,2,126.451,4.27%, 127.267 ,40,,,,,,,,,
ROYAL CARIBBEAN CRUISE LINES,Bond,780153AV6,7,11/15/2022,5.250%,2,102.678,4.784%, 102.688 ,40,,,,,,,,,
ROYAL CARIBBEAN CRUISE LINES,CDS,0,5,1/25/2021,3.340%,2,0,1.45%,0,60,,,,,,,,,
NEW YORK TIMES CO,Bond,650111AG2,7,12/15/2016,6.625%,2,103.875,2.18%, 103.944 ,40,,,,,,,,,
GENERAL MOTORS FINANCIAL COMPANY ,Bond,37045XAF3,7,5/15/2016,2.750%,2,100.125,2.328%, 100.132 ,40,,,,,,,,,
NEW YORK TIMES CO,CDS,0,5,1/25/2021,0.732%,2,0,1.45%,0,60,,,,,,,,,
Ford Motor,Bond,345397WJ8,7,5/9/2026,1.700%,2,100.1312,1.237%, 104.467 ,40,,,,,,,,,
Multicanal SA,Bond,62544FAS8,7,7/20/2026,2.500%,2,60,11.449%, 46.095 ,40,,,,,,,,,
Multicanal SA,CDS,0,5,1/25/2021,10.000%,2,0,1.45%,0,60,,,,,,,,,
Vale Overseas Ltd,Bond,91911TAG8,7,2017/01/23,6.25%,2,99.5,6.77%, 99.507 ,25,,,,,,,,,
Navient Corp,Bond,78442FEQ7,7,2023/01/25,5.50%,2,76,10.41%, 76.001 ,40,,,,,,,,,
Navient Corp,CDS,0,5,2021/01/25,8.961%,2,0,1.45%,0,60,,,,,,,,,
Barclays PLC,Bond,06738EAN58,7,1/12/2026,4.375%,2,100.441,4.32%, 100.443 ,40,,,,,,,,,
Petrobras GlobalFinance BV,Bond,71645WAN1,7,3/15/2019,7.875%,2,86.28,13.340%, 86.286 ,25,,,,,,,,,
Petrobras GlobalFinance BV,CDS,0,5,1/25/2021,11.890%,2,0,1.450%,0,75,,,,,,,,,
MARATHON PETROLEUM CORP,Bond,56585AAD4,7,3/1/2021,5.125%,2,106.161,3.78%, 106.189 ,40,,,,,,,,,
VIRGIN MEDIA FINANCE PLC,Bond,92769VAD1,7,2/15/2022,4.875%,2,94.000,6.073%, 93.983 ,40,,,,,,,,,
VIRGIN MEDIA FINANCE PLC,CDS,0,5,1/25/2021,4.624%,2,0,1.45%,0,60,,,,,,,,,
Ford Motor,Bond,345370BX7,7,8/1/2018,6.500%,2,110.4526,2.17%, 110.621 ,40,,,,,,,,,
Newmont Mining Corp.,Bond,651639AL0,7,10/1/2019,5.125%,2,104.5981,3.696%, 104.901 ,40,,,,,,,,,
Newmont Mining Corp.,CDS,0,5,1/25/2021,2.246%,2,0,1.45%,0,60,,,,,,,,,
CHN INDUSTRIAL CAPITAL LLC ,BOND,12592BAE4,7,11/6/2020,4.38%,2,$90.00 ,6.86%, 89.96 ,40,,,,,,,,,
Air Canada,BOND,008911AZ2,7,4/15/2021,7.750%,2,103,7.05%, 103.02 ,40,,,,,,,,,
Air Canada,CDS,0,5,1/25/2021,5.60%,2,0,1.450%, -   ,60,,,,,,,,,
Barclays PLC,Bond,06738EAL9,7,1/12/2021,3.250%,2,100.359,3.17%, 100.362 ,40,,,,,,,,,
DEUTSCHE BANK AG,Bond,251525AP6,7,4/1/2025,4.500%,2,90.928,5.79%, 90.919 ,40,,,,,,,,,
DEUTSCHE BANK AG,CDS,0,5,1/25/2021,4.335%,2,0,1.45%,0,60,,,,,,,,,
THERMO FISHER SCIENTIFIC INC,Bond,883556BM3,7,12/15/2025,3.65%,2,100.9203,3.54%, 100.943 ,40,,,,,,,,,
CBS CORP,Bond,124857AQ6,7,1/15/2026,4.00%,2,97.6003,4.30%, 97.597 ,40,,,,,,,,,
CBS CORP,CDS,0,5,1/25/2021,2.851%,2,0,1.45%,0,60,,,,,,,,,
Bank of America,Bond,06051GFP9,7,4/21/2025,3.950%,2,97.285,4.31%, 97.283 ,40,,,,,,,,,
Carrick North America Finance LLC,Bond,06849RAF9,7,5/30/2021,4.400%,2,92.03,6.171%, 92.019 ,40,,,,,,,,,
Carrick North America Finance LLC,CDS,0,5,1/25/2021,4.722%,2,0,1.45%,0,60,,,,,,,,,
Transocean Inc,Bond,893830BB4,7,12/15/2021,6.375%,2,54.75,20.770%, 52.240 ,40,,,,,,,,,
Bank of America,Bond,06051GFM6,7,1/22/2025,4.000%,2,98.139,4.250%, 98.143 ,20,,,,,,,,,
Transocean Inc,CDS,0,5,1/25/2021,19.320%,2,0,1.45%,0,60,,,,,,,,,
Coca-Cola Enterprises Inc,Bond,459284AB1,7,9/15/2020,3.50%,2,103.571,2.68%, 103.590 ,40,,,,,,,,,
Yum Brands Inc,Bond,988498AC5,7,3/15/2018,6.25%,2,105.375,3.613%, 105.42 ,40,,,,,,,,,
Yum Brands Inc,CDS,0,5,1/25/2021,2.16%,2,0,1.450%, -   ,60,,,,,,,,,
Jaguar Land Rover Automotive PLC,Bond,47010BAB0,7,12/15/2018,4.13%,2,100.25,4.03%, 100.256 ,40,,,,,,,,,
Ford Motor,Bond,345397VX8,7,2/3/2017,4.25%,2,102.081,2.18%, 102.130 ,40,,,,,,,,,
Ford Motor,CDS,0,5,1/25/2021,2.340%,2,0,1.45%,0,60,,,,,,,,,
Fedex Corp,Bond,31428XAZ9,7,2/1/2020,2.30%,2,$100.48 ,2.18%,$100.48 ,40,,,,,,,,,
Air Canada,Bond,008911AZ2,7,4/15/2021,7.75%,2,$103.00 ,7.05%,$103.02 ,40,,,,,,,,,
Air Canada,CDS,0,5,1/25/2021,5.60%,2,$0.00 ,1.45%,$0.00 ,60,,,,,,,,,
Barclays PLC,Bond,06738EAL9,7,1/12/2021,3.25%,2,100.51,3.14%,100.514,40,,,,,,,,,
